run_id,start_time,tags.data_version,tags.model_type,tags.kpi_status,metrics.test_rmse,metrics.test_mae,metrics.test_r2,metrics.cv_rmse_mean,metrics.cv_rmse_std
10a066856936,2026-02-22 21:03:56.460000+00:00,v2,gradient_boosting,PASS,1.97354270846512,1.5260171777213303,0.8786175940656352,2.099826432818626,0.4327590784381923
5a1f211429c2,2026-02-22 21:03:57.562000+00:00,v2,gradient_boosting,PASS,1.9597549430847174,1.5015818731397386,0.8803076978745235,2.055555533004338,0.40599944883065503
7bafba5298bd,2026-02-22 21:03:58.661000+00:00,v2,gradient_boosting,PASS,1.837364628021177,1.434078517672752,0.8947908805720202,2.032699627559398,0.47151596558114683
098a960c2b8f,2026-02-22 21:04:00.326000+00:00,v2,gradient_boosting,PASS,1.8363218870771978,1.4394237947206114,0.8949102632190005,2.023411990271676,0.437315531246425
fa1824f041b9,2026-02-22 21:04:01.986000+00:00,v2,gradient_boosting,PASS,1.8263545354841562,1.4336710070305394,0.8960479979451949,2.025482951610733,0.44878557998460844
70a11c2cd4f1,2026-02-22 21:04:03.645000+00:00,v2,gradient_boosting,PASS,1.840246526761397,1.4534945647754371,0.8944605816104869,2.0805429038389835,0.47799515331574494
1672b9492c80,2026-02-22 21:04:05.317000+00:00,v2,gradient_boosting,PASS,1.9119415507328839,1.5260242411674445,0.8860768706597986,2.068172722134628,0.4993477339702771
f611798d48a8,2026-02-22 21:04:07.006000+00:00,v2,gradient_boosting,PASS,1.9693591904781322,1.549816125214627,0.8791316617400267,2.0227766732418546,0.4227311042490702
95be8d75802b,2026-02-22 21:04:08.697000+00:00,v2,gradient_boosting,PASS,1.9315609229922028,1.486234253449006,0.8837268322770254,2.0960678325079787,0.40229017430872793
095cfd4469d3,2026-02-22 21:04:10.374000+00:00,v2,gradient_boosting,PASS,1.9168273268528,1.4921842261022433,0.8854938883230702,2.1960999594069155,0.5289985959176723
de68279c7740,2026-02-22 21:04:12.051000+00:00,v2,gradient_boosting,PASS,1.9551592235419268,1.5352086052195872,0.8808684080602561,2.130302065922395,0.42674858419269285
1cfb1d9007e0,2026-02-22 21:04:13.763000+00:00,v2,gradient_boosting,PASS,1.8549499309979711,1.4605723992180262,0.892767343193769,2.120150009436882,0.5053796502187555
223d23d2fa82,2026-02-22 21:04:15.957000+00:00,v2,gradient_boosting,PASS,1.893916733005854,1.4744842685443136,0.8882147647042477,2.1163827330961906,0.49777186730611594
b10dee2cd0d9,2026-02-22 21:04:18.129000+00:00,v2,gradient_boosting,PASS,1.8984952513081823,1.4755856620984513,0.8876736327900423,2.07245010425504,0.43991930869028945
86718c02bf05,2026-02-22 21:04:20.271000+00:00,v2,gradient_boosting,PASS,1.8962355549741627,1.490647485615495,0.8879408680359543,2.1412405725019648,0.5467915914587084
e4ec42c80939,2026-02-22 21:04:22.469000+00:00,v2,gradient_boosting,PASS,1.879181920244547,1.4789444929307152,0.8899473932497246,2.0550332495280728,0.47048403603858907
daffa3b0a45a,2026-02-22 21:04:24.689000+00:00,v2,gradient_boosting,PASS,1.917680561767089,1.5029052792121258,0.8853919257146621,2.051641713783074,0.40661296237778455
0242d5c5ebc6,2026-02-22 21:04:26.889000+00:00,v2,gradient_boosting,PASS,1.9626143459106782,1.5172471277674415,0.8799581662262449,2.1917560738130173,0.49811504600035283
c92c9d214b7b,2026-02-22 21:04:29.142000+00:00,v2,gradient_boosting,PASS,1.9954126776930734,1.5675151086140011,0.8759124707215342,2.132254114124814,0.3872084732414012
18334a4a48ee,2026-02-22 21:04:31.342000+00:00,v2,gradient_boosting,PASS,1.9730452790283906,1.5331262812681732,0.8786787749788205,2.112657071149205,0.3896965775283529
84aa4442e33c,2026-02-22 21:04:53.988000+00:00,v1,gradient_boosting,PASS,2.0165605389109307,1.60347974744218,0.9333782362029992,2.818264346487063,1.3375724879208166
26ab3b3a540c,2026-02-22 21:04:56.481000+00:00,v2,gradient_boosting,PASS,1.858822799761332,1.4854226912471207,0.8923191030108136,2.053977965302445,0.5807373886889474
